p16313coll38	24th General Hospital in World War II	&lt;p&gt;The 24th General Hospital, commonly known as the “Tulane Unit” was composed of personnel from the Tulane School of Medicine and was activated in July 1942. Colonel Walter C. Royals (Tulane SOM, 1917) was the commanding officer of the Unit. Thirty Tulane medical graduates and ten Tulane faculty members were included in the complement of forty-two medical doctors. The unit served: Fort Benning (July 15, 1942 to August 8, 1943); Bizerte, Tunisia (September 8, 1943 to May 31, 1944); Grosseto, Italy (July 21, 1944 to September 15, 1944); Army headquarters near Florence, Italy (September 21, 1944- ) and Livorno, Italy (June 1, 1945 to June 11, 1945). The 24th General Hospital Unit received the Fifth Army Plaque and Clasp for meritorious service with the Fifth Army. In the First World War Tulane also sponsored a medical unit organized by Dr. Rudolph Matas.&lt;/p&gt;&lt;p&gt;S.Harvey Colvin. 24th General Hospital negative collection: Digitized negatives from the Colvin collection from the 24th General Hospital, World War II have been added to the digital collections of Tulane (funded by the History of Medicine Society). The collection includes 134 scanned (.tiff) negatives taken of the 24th General Hospital (United States. Army). The sites were visited by Colonel Samuel Harvey Colvin, Jr., M.D. The negatives were a gift of Melba Colvin, 1989.&lt;/p&gt;&lt;p&gt;The Rudolph Matas Library of the Health Sciences has other collections related to the 24th General Hospital in WWII as part of the historic collections, such as the Col. Walter C. Royals, MD photo album and the memorabilia collections of Lt. Col. John J. Archinard, Claudia Weaver Archinard and Dr. Edward Des. Matthews.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
AMA	American Missionary Association Photographs, 1887-1952	&lt;p&gt;This digital collection, funded by the Institute of Museum and Library Services, includes more than 3000 photographs of the activities of and related to the American Missionary Association from the late nineteenth century through the mid twentieth century. Photographers working with the American Missionary Association traveled through urban and rural communities within the continental United States of America, as well as to foreign lands, to visually record the environments and people who lived within them. The photographs document the experiences and lives of various ethnic groups of the world. They provide visual support to the textual documents of the American Missionary Association archives, housed at the Amistad Research Center.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
ayoung	Andrew Young Oral History Collection	&lt;p&gt;The Andrew Young Oral History Collection encompasses 50 individual interviews conducted from 1980 to 1985 as part of writer and oral historian Tom Dent's research on his childhood friend, activist, congressman, and ambassador Andrew Young. As early as 1979, Dent was conducting research toward the autobiography of Young, though he wasn't officially hired as a consultant until 1981 to 1982 and continued to work on the book until 1986. Dent traveled to Atlanta, Georgia, to conduct a series of interviews with Young, then researched New Orleans and civil rights era history for the draft of the book, with the working title "An Easy Burden." The Young interviews provide a firsthand account of the events, leadership, and various campaigns of the Civil Rights Movement, as well as Young's childhood, work in the National Council of Churches, as a Congressman from Georgia, and United Nations Ambassador. The interviews provide numerous portraits of the SCLC leadership and civil rights workers including Hosea Williams, Ralph Abernathy, Wyatt Walker, Fannie Lou Hamer, Randolph Blackwell, Dorothy Cotton, Stan Levinson and of course Dr. Martin Luther King Jr. The events and campaigns of the Civil Rights Movement are detailed for St. Augustine (Florida), Albany (Georgia), Selma (Alabama) and the Voting Rights Campaign, the Chicago Movement, and the Meredith March. Young provides detailed accounts of the FBI's harassment of Martin Luther King and SCLC staff, the assassination of Martin Luther King Jr. in Memphis in 1968, and comments on what Young believes were the factors that produced the Civil Rights Movement of the sixties. Additional topics within the interviews include the Poor People's Campaign, the Vietnam Peace Movement, Young's Congressional Campaign and work as the UN Ambassador to Africa. Additional interviews within the oral history collection include interviews with Young's wife, Jean Childs Young, Dorothy Cotton, and Stoney Cooks.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
islandora_257	Audiovisuals	&lt;p&gt;The University Archives has a modest collection of films and a vast collection of videotapes, all of which are rapidly reaching the end of their original lifespan. As funds permit, we are digitizing the items in most immediate need of preservation and are presenting the transferred/digitized/restored prints in this repository. The films cover a wide range of topics – historic student events such as Tulane’s Centennial celebration, Newcomb College students in cap and gown, athletic events, political protests and speeches, and promotional publicity films -- and were created by students, staff members, and professional filmmakers. At this time, the earliest film digitized is a 1931 movie comprised of several pieces of film joined into a short reel that shows Newcomb students and faculty members at Dixon Hall, a line of female students in procession, heading for chapel on the first day of class, accompanied by their child mascot. The most historic, perhaps, is the footage of President Gerald R. Ford’s speech in the gymnasium on April 23, 1975, in which he announced to the Tulane audience and to the world that the U.S. involvement in the Vietnam War was over.	&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
medals	B. Bernard Weinstein Medal Collection	&lt;p&gt;The Matas Library has a collection of scientific medals issued in honor of individuals or commemorating a momentous event, disease, hospital, school or society. The core of this group of medals were collected by Benjamin Bernard Weinstein, M.D. (1913-1974), a Tulane faculty member and New Orleans physician.His medal collection was donated to the Rudolph Matas Library by the Weinstein family.In addition to the B. Bernard Weinstein collection, the Matas Library maintains the medals and awards of Dr. Rudolph Matas and awards given to other Tulane health scientists and physicians.Highlights of the collection are the replica of the Nobel Prize in Physiology or Medicine (1998) medal awarded to Louis J. Ignarro, Tulane faculty (1973-1985) and also the yellow fever medals of Roger Post Ames, 1952-1958.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
p16313coll73	Black Natchez	&lt;p&gt;Black Natchez (1967) charts early attempts to organize and register Black voters and the formation of a self defense group in the Black community. In 1965, filmmaker Ed Pincus and David Neuman spent ten weeks in Natchez, Mississippi, filming the lives of ordinary people with unedited coverage of public and private civil rights organizational meetings, street demonstrations, and contests of power between young militants and the old guard, as well as secret meetings of African American self-defense organizations and interaction among the Black community. During this period, George Metcalfe, the recently elected president of the local branch of the NAACP, was bombed in his car leaving his job at the Armstong Tire Plant. In the week that followed, the African American community, along with local and national civil rights activists, gathered to address the problem. Pincus captured the fallout and general public sentiment following the event. The film is a genuine, often candid, portrayal of a community in a time of turmoil. At times, Pincus and his partner Neuman, turn the camera on an individual and interview him. Interviewees range from prominent civil rights leaders, including Charles Evers, to more representative residents, and they are asked to express their thoughts and feelings about racial tensions and violence in the city. The film also chronicles the tensions between the NAACP and the Mississippi Freedom Democratic Party, both of which were operating in Natchez.&lt;/p&gt;&lt;p&gt;Access to this film is restricted. Please contact the Amistad Research Center (http://www.amistadresearchcenter.org) to request permission.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
islandora_bookCollection	Book Collection	&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
p16313coll39	Bourbon Street, 1944-1952	&lt;p&gt;The Southeastern Architectural Archive, Tulane University Libraries, is home to the Walter Cook Keenan New Orleans Photographs Collection numbering over 3,000 images. Walter Cook Keenan (1881-1970), the first architect of the Vieux Carré Commission (VCC) and a lifelong member of the Audubon Park Commission, took the photographs in order to document changes to the built environment. In 2013, the Tulane Digital Library undertook to digitize the portion of the collection focused on historic Bourbon Street.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
calap	CALAP&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
p15140coll40	Carnival Collection	&lt;p&gt;The online Carnival Collection currently features more than 5,500 original float and costume designs. Most are from Carnival’s “Golden Age” (the 1870s through the 1940s) with about three hundred designs from 1950 to 1970. The great majority of designs are from the Carnival krewes of Comus and Proteus, with Rex and Momus also represented. Included are artworks from many of Carnival’s most noted designers, including Jennie Wilde, Bror Anders Wikstrom, and Charles Briton.&lt;/p&gt;&lt;p&gt;The Louisiana Research Collection (LaRC) preserves possibly the largest collection of New Orleans Carnival paper items. LaRC’s collection represents more than two hundred krewes and spans the founding of Carnival in New Orleans to the present. The LaRC Carnival Collection is available in the Schiro Reading Room. We will continually expand the online collection to include more contemporary designs along with invitations, dance cards, table cards, and other printed Carnival items.&lt;/p&gt;&lt;p&gt;We depend on donations to keep our collection current. Please contact us if you have krewe invitations, dance cards, minutes, or other paper krewe materials, or if you would like to discuss how we can help you permanently preserve the records of your krewe. For more information please visit the LaRC website.&lt;/p&gt;&lt;p&gt;Support for the LaRC Carnival Collection comes in part from the continuing generosity of Charles L. "Pie" Dufour (1903-1996), who bequeathed to the Louisiana Research Collection funds for preserving the contributions of Carnival to Louisiana's culture. Digitization of this collection was made possible by the generous support of the Office of the Provost, Tulane University.&lt;/p&gt;&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
cartagena	Cartagena de Indias: Images from the 19th and 20th Centuries/Cartagena de Indias: Imágenes de los Siglos XIX y XX&lt;p&gt;tulane record tulane:jrphil193050&lt;/p&gt;
